contract_id,source,finding_id,severity,h_score,f_score,is_block
msft_activision,demo_path,msft_activision#0001,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0002,watch,0.0,1.0,0
msft_activision,demo_path,msft_activision#0003,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0004,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0005,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0006,info,1.0,0.5,0
msft_activision,demo_path,msft_activision#0007,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0008,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0009,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0010,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0011,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0012,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0013,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0014,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0015,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0016,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0017,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0018,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0019,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0020,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0021,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0022,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0023,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0024,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0025,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0026,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0027,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0028,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0029,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0030,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0031,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0032,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0033,block,1.0,1.0,1
msft_activision,demo_path,msft_activision#0034,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0035,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0036,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0037,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0038,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0039,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0040,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0041,info,1.0,1.0,0
msft_activision,demo_path,msft_activision#0042,watch,1.0,1.0,0
msft_activision,demo_path,msft_activision#0043,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0044,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0045,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0046,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0047,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0048,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0049,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0050,block,1.0,1.0,1
pfizer_seagen,demo_path,pfizer_seagen#0051,block,1.0,1.0,1
pfizer_seagen,demo_path,pfizer_seagen#0052,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0053,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0054,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0055,block,1.0,1.0,1
pfizer_seagen,demo_path,pfizer_seagen#0056,block,1.0,1.0,1
pfizer_seagen,demo_path,pfizer_seagen#0057,watch,1.0,0.5,0
pfizer_seagen,demo_path,pfizer_seagen#0058,block,1.0,0.5,1
pfizer_seagen,demo_path,pfizer_seagen#0059,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0060,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0061,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0062,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0063,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0064,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0065,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0066,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0067,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0068,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0069,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0070,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0071,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0072,watch,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0073,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0074,block,1.0,1.0,1
pfizer_seagen,demo_path,pfizer_seagen#0075,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0076,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0077,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0078,info,1.0,1.0,0
pfizer_seagen,demo_path,pfizer_seagen#0079,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0080,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0081,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0082,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0083,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0084,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0085,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0086,block,1.0,1.0,1
cisco_splunk,demo_path,cisco_splunk#0087,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0088,block,1.0,1.0,1
cisco_splunk,demo_path,cisco_splunk#0089,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0090,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0091,block,1.0,1.0,1
cisco_splunk,demo_path,cisco_splunk#0092,block,1.0,1.0,1
cisco_splunk,demo_path,cisco_splunk#0093,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0094,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0095,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0096,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0097,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0098,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0099,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0100,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0101,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0102,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0103,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0104,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0105,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0106,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0107,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0108,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0109,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0110,watch,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0111,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0112,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0113,info,1.0,1.0,0
cisco_splunk,demo_path,cisco_splunk#0114,watch,1.0,1.0,0
